Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Routes Completed,Doors in Route,The time you started at:,The time you ended at,WARD,Time Spent
North Stake Centre,Edmonton North Stake,1,2,22,60,0,1,150,2023-12-13 10:45:00,2023-12-13 11:30:00,Griesbach Ward,45.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,1,40,60,0,1,160,2023-12-13 10:30:00,2023-12-13 11:14:00,Connors Hill Ward,44.0
Gateway Stake Centre,Gateway Stake,2,3,20,60,1,2,194,2023-12-13 10:30:00,2023-12-13 11:30:00,Crawford Plains Ward,60.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,33,45,1,2,130,2023-12-13 10:45:00,2023-12-13 11:30:00,Forest Heights Ward,45.0
Riverbend Stake Centre,Riverbend Stake,1,2,18,40,0,1,14,2023-12-13 10:10:00,2023-12-13 10:50:00,Rutherford Ward,40.0
Gateway Stake Centre,Gateway Stake,2,0,17,40,0,1,170,2023-12-13 10:50:00,2023-12-13 11:30:00,Silver Berry Ward,40.0
Riverbend Stake Centre,Riverbend Stake,2,1,12,15,0,1,12,2023-12-13 11:00:00,2023-12-13 11:40:00,Rutherford Ward,40.0
North Stake Centre,Edmonton North Stake,3,0,17,45,0,1,13,2023-12-13 10:30:00,2023-12-13 11:30:00,Griesbach Ward,60.0
Gateway Stake Centre,Gateway Stake,2,0,37,15,1,4,520,2023-12-13 10:40:00,2023-12-13 11:34:00,Crawford Plains Ward,54.0
North Stake Centre,Edmonton North Stake,2,0,12,100,0,1,175,2023-12-13 10:00:00,2023-12-13 11:35:00,Namao Ward,95.0
Riverbend Stake Centre,Riverbend Stake,2,2,10,10,0,1,70,2023-12-13 11:10:00,2023-12-13 11:38:00,Rabbit Hill Ward,28.0
Riverbend Stake Centre,Riverbend Stake,1,3,50,60,0,1,38,2023-12-13 10:15:00,2023-12-13 11:20:00,Terwillegar Park Ward,65.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,10,30,0,1,136,2023-12-13 11:00:00,2023-12-13 11:30:00,Connors Hill Ward,30.0
Riverbend Stake Centre,Riverbend Stake,4,0,23,45,0,1,192,2023-12-13 10:40:00,2023-12-13 11:40:00,Greenfield Ward,60.0
North Stake Centre,Edmonton North Stake,1,3,15,60,0,1,14,2023-12-13 10:30:00,2023-12-13 11:30:00,Griesbach Ward,60.0
North Stake Centre,Edmonton North Stake,1,3,7,40,0,1,90,2023-12-13 10:40:00,2023-12-13 11:20:00,Griesbach Ward,40.0
Gateway Stake Centre,Gateway Stake,1,0,16,30,0,1,135,2023-12-13 10:47:00,2023-12-13 11:17:00,Crawford Plains Ward,30.0
Gateway Stake Centre,Gateway Stake,1,2,28,35,0,1,203,2023-12-13 10:50:00,2023-12-13 11:25:00,Ellerslie Ward,35.0
Londonderry Chapel,Bonnie Doon Stake,1,2,12,20,0,1,110,2023-12-13 11:15:00,2023-12-13 11:40:00,Londonderry Ward,25.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,25,60,0,1,249,2023-12-13 10:40:00,2023-12-13 11:40:00,Connors Hill Ward,60.0
Bearspaw Chapel,Gateway Stake,19,2,15,55,0,1,158,2023-12-13 10:30:00,2023-12-13 11:40:00,Lee Ridge Ward,70.0
Bearspaw Chapel,Gateway Stake,7,0,17,40,0,1,170,2023-12-13 11:00:00,2023-12-13 11:42:00,Lee Ridge Ward,42.0
Gateway Stake Centre,Gateway Stake,2,2,9,20,0,1,138,2023-12-13 11:20:00,2023-12-13 11:40:00,Crawford Plains Ward,20.0
Riverbend Stake Centre,Riverbend Stake,4,1,15,15,0,1,80,2023-12-13 11:00:00,2023-12-13 11:15:00,Rabbit Hill Ward,15.0
Bearspaw Chapel,Gateway Stake,3,3,55,47,0,1,165,2023-12-13 10:53:00,2023-12-13 11:40:00,Blackmud Creek Ward,47.0
Gateway Stake Centre,Gateway Stake,3,2,30,40,1,2,256,2023-12-13 10:45:00,2023-12-13 11:25:00,Crawford Plains Ward,40.0
Gateway Stake Centre,Gateway Stake,3,1,40,100,1,2,419,2023-12-13 10:00:00,2023-12-13 11:40:00,Silver Berry Ward,100.0
North Stake Centre,Edmonton North Stake,2,2,15,60,0,1,106,2023-12-13 10:40:00,2023-12-13 11:30:00,Griesbach Ward,50.0
Coronation Park Chapel,Bonnie Doon Stake,2,2,35,75,1,2,144,2023-12-13 10:30:00,2023-12-13 11:44:00,Coronation Park Ward,74.0
Gateway Stake Centre,Gateway Stake,2,1,11,60,1,2,11,2023-12-13 10:40:00,2023-12-13 11:40:00,Silver Berry Ward,60.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,16,40,0,1,125,2023-12-13 11:00:00,2023-12-13 11:40:00,Forest Heights Ward,40.0
Gateway Stake Centre,Gateway Stake,1,2,32,35,0,1,173,2023-12-13 11:00:00,2023-12-13 11:35:00,Lee Ridge Ward,35.0
North Stake Centre,Edmonton North Stake,2,0,18,55,0,1,90,2023-12-13 10:45:00,2023-12-13 11:40:00,Griesbach Ward,55.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,4,32,45,0,1,200,2023-12-13 10:30:00,2023-12-13 11:43:00,Forest Heights Ward,73.0
Coronation Park Chapel,Bonnie Doon Stake,3,0,18,45,0,1,143,2023-12-13 11:00:00,2023-12-13 11:45:00,Coronation Park Ward,45.0
