Drop Off Location,Stake,# of Adult Volunteers in this route,# of Youth Volunteers in this route,# of Donation Bags Collected/Route,Time to Complete (in minutes) pick up of bags /route,Number of routes completed,# of Doors in Route
Riverbend Stake Centre,Riverbend Stake,2,2,30,25,1,196
Gateway Stake Centre,Gateway Stake,1,3,32,52,2,200
Gateway Stake Centre,Gateway Stake,1,1,120,70,6,900
Gateway Stake Centre,Gateway Stake,2,3,40,90,3,380
Coronation Park Chapel,Bonnie Doon Stake,2,0,44,60,2,266
Londonderry Chapel,Bonnie Doon Stake,2,0,16,60,1,100
Bearspaw Chapel,Gateway Stake,2,1,20,50,1,158
Gateway Stake Centre,Gateway Stake,1,1,25,35,1,26
Londonderry Chapel,Bonnie Doon Stake,2,2,39,60,1,180
Gateway Stake Centre,Gateway Stake,2,1,44,60,1,168
Gateway Stake Centre,Gateway Stake,2,3,24,60,1,128
Bearspaw Chapel,Bonnie Doon Stake,2,1,25,45,2,256
Bearspaw Chapel,Gateway Stake,2,0,44,75,1,125
Bearspaw Chapel,Gateway Stake,2,3,22,35,2,207
Gateway Stake Centre,Gateway Stake,2,0,20,55,1,25
Gateway Stake Centre,Gateway Stake,2,2,67,100,3,501
Bearspaw Chapel,Bonnie Doon Stake,2,5,15,25,1,115
Gateway Stake Centre,Gateway Stake,2,0,36,60,2,140
Gateway Stake Centre,Gateway Stake,2,1,16,30,1,114
Gateway Stake Centre,Gateway Stake,3,1,18,23,1,180
Gateway Stake Centre,Gateway Stake,2,0,27,40,2,267
Bearspaw Chapel,Gateway Stake,3,3,37,60,1,206
Bearspaw Chapel,Bonnie Doon Stake,2,0,12,60,1,180
Londonderry Chapel,Bonnie Doon Stake,3,0,150,120,4,450
Gateway Stake Centre,Gateway Stake,3,1,28,27,1,184
Londonderry Chapel,Bonnie Doon Stake,1,2,25,45,1,135
North Stake Centre,Edmonton North Stake,1,0,7,45,1,40
Gateway Stake Centre,Gateway Stake,2,0,28,90,2,460
Gateway Stake Centre,Gateway Stake,2,0,17,60,1,153
Londonderry Chapel,Bonnie Doon Stake,1,2,20,60,1,110
Gateway Stake Centre,Gateway Stake,2,4,59,105,2,492
Gateway Stake Centre,Gateway Stake,2,0,17,60,1,235
Riverbend Stake Centre,Riverbend Stake,2,1,100,90,3,482
Gateway Stake Centre,Gateway Stake,2,3,65,65,3,65
Gateway Stake Centre,Gateway Stake,1,3,25,35,1,19
Londonderry Chapel,Bonnie Doon Stake,2,0,15,20,1,50
Riverbend Stake Centre,Riverbend Stake,2,0,19,65,1,174
Londonderry Chapel,Bonnie Doon Stake,1,2,20,20,1,180
Gateway Stake Centre,Gateway Stake,2,2,36,35,1,216
North Stake Centre,Edmonton North Stake,1,1,14,60,1,135
Gateway Stake Centre,Gateway Stake,2,2,60,80,2,366
Londonderry Chapel,Bonnie Doon Stake,3,1,30,60,1,180
Londonderry Chapel,Bonnie Doon Stake,2,0,35,75,3,75
Gateway Stake Centre,Gateway Stake,1,2,24,30,1,244
Londonderry Chapel,Bonnie Doon Stake,2,2,60,60,3,165
North Stake Centre,Edmonton North Stake,1,3,30,35,1,272
Bearspaw Chapel,Gateway Stake,2,2,20,45,2,200
Gateway Stake Centre,Gateway Stake,2,3,25,40,1,60
Bearspaw Chapel,Gateway Stake,1,4,30,45,1,160
Bearspaw Chapel,Gateway Stake,2,4,18,45,1,154
North Stake Centre,Edmonton North Stake,2,4,80,110,5,500
Bearspaw Chapel,Gateway Stake,1,1,20,60,1,161
Gateway Stake Centre,Gateway Stake,3,5,66,115,3,654
Riverbend Stake Centre,Riverbend Stake,2,0,20,60,1,137
Bearspaw Chapel,Bonnie Doon Stake,2,4,45,90,2,180
Londonderry Chapel,Bonnie Doon Stake,1,1,12,60,1,180
Londonderry Chapel,Bonnie Doon Stake,1,0,55,180,1,225
Gateway Stake Centre,Gateway Stake,1,2,17,40,1,113
Bearspaw Chapel,Gateway Stake,2,3,50,45,1,240
Bearspaw Chapel,Gateway Stake,1,1,23,30,1,180
Gateway Stake Centre,Gateway Stake,2,3,30,62,1,200
Londonderry Chapel,Bonnie Doon Stake,2,0,5,15,1,218
Bearspaw Chapel,Gateway Stake,2,1,21,30,1,139
Gateway Stake Centre,Gateway Stake,2,4,50,45,1,236
Riverbend Stake Centre,Riverbend Stake,1,1,43,60,1,208
Gateway Stake Centre,Gateway Stake,2,3,25,40,1,118
Gateway Stake Centre,Gateway Stake,1,0,29,69,1,266
Gateway Stake Centre,Gateway Stake,2,0,40,65,1,239
Gateway Stake Centre,Gateway Stake,2,2,85,90,3,585
Bearspaw Chapel,Gateway Stake,2,1,30,40,2,165
Gateway Stake Centre,Gateway Stake,1,1,18,26,1,201
Bearspaw Chapel,Bonnie Doon Stake,1,0,13,60,1,180
Gateway Stake Centre,Gateway Stake,2,2,20,45,1,151
North Stake Centre,Edmonton North Stake,2,0,93,120,3,552
Gateway Stake Centre,Gateway Stake,2,3,22,40,1,118
Riverbend Stake Centre,Riverbend Stake,4,0,80,120,4,400
Gateway Stake Centre,Gateway Stake,2,2,29,45,1,342
Bearspaw Chapel,Gateway Stake,2,1,35,40,2,172
Bearspaw Chapel,Gateway Stake,1,0,23,60,1,163
Gateway Stake Centre,Gateway Stake,2,2,17,37,1,186
Bearspaw Chapel,Bonnie Doon Stake,2,0,22,30,1,145
Riverbend Stake Centre,Riverbend Stake,2,0,8,15,1,68
Bearspaw Chapel,Bonnie Doon Stake,2,0,11,38,1,158
Gateway Stake Centre,Gateway Stake,6,0,20,30,1,300
Bearspaw Chapel,Bonnie Doon Stake,2,3,60,90,2,257
Riverbend Stake Centre,Riverbend Stake,2,1,80,60,2,300
Londonderry Chapel,Bonnie Doon Stake,2,1,42,110,2,191
Bearspaw Chapel,Gateway Stake,2,3,32,30,1,157
Riverbend Stake Centre,Riverbend Stake,2,2,54,90,1,350
Riverbend Stake Centre,Riverbend Stake,3,1,100,105,2,80
Londonderry Chapel,Bonnie Doon Stake,4,0,200,240,7,607
Londonderry Chapel,Bonnie Doon Stake,3,1,25,60,1,25
Gateway Stake Centre,Gateway Stake,2,1,45,60,2,36
Riverbend Stake Centre,Riverbend Stake,3,1,110,120,3,430
Bearspaw Chapel,Bonnie Doon Stake,2,0,58,75,3,180
Riverbend Stake Centre,Riverbend Stake,2,3,39,120,1,110
Gateway Stake Centre,Gateway Stake,2,2,35,80,2,330
Riverbend Stake Centre,Riverbend Stake,2,3,88,40,1,380
Riverbend Stake Centre,Riverbend Stake,1,3,12,30,1,142
Gateway Stake Centre,Gateway Stake,3,4,33,30,3,206
Bearspaw Chapel,Gateway Stake,3,0,30,45,1,171
North Stake Centre,Edmonton North Stake,3,0,60,120,2,380
Bearspaw Chapel,Gateway Stake,4,5,14,30,1,180
Gateway Stake Centre,Gateway Stake,2,0,23,25,1,160
Gateway Stake Centre,Gateway Stake,1,1,45,90,2,180
Riverbend Stake Centre,Riverbend Stake,2,4,80,105,4,74
Bearspaw Chapel,Bonnie Doon Stake,2,3,20,45,1,147
Riverbend Stake Centre,Riverbend Stake,2,0,100,90,2,500
Bearspaw Chapel,Gateway Stake,3,0,8,30,1,60
Riverbend Stake Centre,Riverbend Stake,5,0,28,60,2,260
Bearspaw Chapel,Gateway Stake,3,4,14,60,2,147
Riverbend Stake Centre,Riverbend Stake,2,2,65,80,2,200
Bearspaw Chapel,Gateway Stake,3,4,25,35,2,166
Riverbend Stake Centre,Riverbend Stake,2,2,67,60,2,377
Riverbend Stake Centre,Riverbend Stake,3,0,34,90,2,246
Bearspaw Chapel,Gateway Stake,4,1,32,75,1,178
Gateway Stake Centre,Gateway Stake,1,1,25,25,1,226
